conc,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
3,0.096458,0.08445,0.0832718,0.0823513,0.0844028,0.0969703,0.164577,0.341112,0.550921,0.676145,0.680341,0.71203
3,0.0918021,0.0843058,0.0835072,0.0832164,0.0844965,0.100343,0.187947,0.429432,0.645556,0.780177,0.766496,0.792457
3,0.0911621,0.084949,0.0834734,0.0831701,0.0849072,0.100062,0.182342,0.425665,0.622843,0.664312,0.681176,0.735519
3,0.0929157,0.0837625,0.0821992,0.0822139,0.0836207,0.100778,0.179354,0.405035,0.639976,0.693823,0.699963,0.718693
2,0.0993237,0.0864431,0.0850021,0.0842973,0.085297,0.101846,0.179481,0.394935,0.645852,0.683856,0.681752,0.759452
2,0.0921018,0.0835135,0.0820573,0.0814486,0.08287,0.0982315,0.17883,0.415808,0.654923,0.675269,0.693118,0.708048
2,0.0924153,0.0864886,0.0854066,0.0844539,0.0857569,0.103011,0.166694,0.366869,0.639392,0.717654,0.731598,0.769645
2,0.0913551,0.0846461,0.0833809,0.0829069,0.0846841,0.0998393,0.177163,0.410935,0.674927,0.707714,0.735997,0.75268
2,0.0913524,0.0847878,0.0837361,0.0833448,0.0847196,0.0991936,0.188017,0.499411,0.692617,0.696613,0.679766,0.714565
2,0.0919023,0.0843539,0.0820634,0.0816635,0.0841743,0.100235,0.172672,0.373194,0.523789,0.63888,0.658516,0.677943
